COUNTY,RACE,YEAR,POP
15County,AA,2010,121054
15County,AA,2011,63769
15County,AA,2012,66927
15County,AA,2013,71774
15County,AA,2014,77219
15County,AA,2015,83437
15County,AA,2016,89657
15County,AA,2017,96214
15County,AA,2018,101478
15County,AA,2019,106919
15County,AA,2020,221008
15County,AA,2021,113359
15County,AA,2022,117839
15County,AA,2023,122008
15County,BA,2010,579812
15County,BA,2011,296211
15County,BA,2012,303239
15County,BA,2013,311240
15County,BA,2014,320140
15County,BA,2015,328658
15County,BA,2016,337482
15County,BA,2017,347669
15County,BA,2018,356018
15County,BA,2019,363264
15County,BA,2020,737021
15County,BA,2021,375018
15County,BA,2022,383184
15County,BA,2023,392641
15County,HAA,2010,1716
15County,HAA,2011,863
15County,HAA,2012,853
15County,HAA,2013,902
15County,HAA,2014,904
15County,HAA,2015,901
15County,HAA,2016,883
15County,HAA,2017,924
15County,HAA,2018,918
15County,HAA,2019,975
15County,HAA,2020,2115
15County,HAA,2021,1083
15County,HAA,2022,1113
15County,HAA,2023,1131
15County,HBA,2010,12768
15County,HBA,2011,6705
15County,HBA,2012,7035
15County,HBA,2013,7439
15County,HBA,2014,7898
15County,HBA,2015,8331
15County,HBA,2016,8870
15County,HBA,2017,9326
15County,HBA,2018,9920
15County,HBA,2019,10335
15County,HBA,2020,22703
15County,HBA,2021,12352
15County,HBA,2022,12850
15County,HBA,2023,13493
15County,HIA,2010,3851
15County,HIA,2011,1949
15County,HIA,2012,1996
15County,HIA,2013,2035
15County,HIA,2014,2104
15County,HIA,2015,2168
15County,HIA,2016,2225
15County,HIA,2017,2347
15County,HIA,2018,2435
15County,HIA,2019,2514
15County,HIA,2020,5455
15County,HIA,2021,2977
15County,HIA,2022,3289
15County,HIA,2023,3603
15County,HNA,2010,635
15County,HNA,2011,313
15County,HNA,2012,319
15County,HNA,2013,307
15County,HNA,2014,300
15County,HNA,2015,301
15County,HNA,2016,305
15County,HNA,2017,317
15County,HNA,2018,345
15County,HNA,2019,336
15County,HNA,2020,659
15County,HNA,2021,320
15County,HNA,2022,346
15County,HNA,2023,354
15County,HTOM,2010,7163
15County,HTOM,2011,3786
15County,HTOM,2012,3937
15County,HTOM,2013,4107
15County,HTOM,2014,4321
15County,HTOM,2015,4482
15County,HTOM,2016,4708
15County,HTOM,2017,5006
15County,HTOM,2018,5284
15County,HTOM,2019,5542
15County,HTOM,2020,12020
15County,HTOM,2021,6495
