COUNTY,YEAR,RACE,POP,POP_PROP
15County,2010,Hispanic or Latio (any race),142849.0,0.032663996820697296
15County,2011,Hispanic or Latio (any race),73501.0,0.03331038649039745
15County,2012,Hispanic or Latio (any race),75822.0,0.03405855203315029
15County,2013,Hispanic or Latio (any race),78700.0,0.03493252075644221
15County,2014,Hispanic or Latio (any race),81701.0,0.03582585253084406
15County,2015,Hispanic or Latio (any race),84854.0,0.036797689465558815
15County,2016,Hispanic or Latio (any race),88295.0,0.0378839398610958
15County,2017,Hispanic or Latio (any race),92440.0,0.03914108107123939
15County,2018,Hispanic or Latio (any race),96220.0,0.040364209170671135
15County,2019,Hispanic or Latio (any race),100187.0,0.04168386383834215
15County,2020,Hispanic or Latio (any race),220781.0,0.04562778739919896
15County,2021,Hispanic or Latio (any race),120374.0,0.04961069448542928
15County,2022,Hispanic or Latio (any race),125076.0,0.05123392590668885
15County,2023,Hispanic or Latio (any race),130449.0,0.05303199384344445
Delaware,2010,Hispanic or Latio (any race),7436.0,0.021223641698348002
Delaware,2011,Hispanic or Latio (any race),3892.0,0.021793665725932894
Delaware,2012,Hispanic or Latio (any race),4131.0,0.022793736274650454
Delaware,2013,Hispanic or Latio (any race),4330.0,0.023336656875690535
Delaware,2014,Hispanic or Latio (any race),4531.0,0.023891504832611824
Delaware,2015,Hispanic or Latio (any race),4679.0,0.024165392719910753
Delaware,2016,Hispanic or Latio (any race),5019.0,0.02542012337800468
Delaware,2017,Hispanic or Latio (any race),5181.0,0.025756001531142343
Delaware,2018,Hispanic or Latio (any race),5554.0,0.027046901099115155
Delaware,2019,Hispanic or Latio (any race),5847.0,0.02787365089050761
Delaware,2020,Hispanic or Latio (any race),13168.0,0.030714685575667103
Delaware,2021,Hispanic or Latio (any race),7327.0,0.033111595159118226
Delaware,2022,Hispanic or Latio (any race),7823.0,0.03453466710223109
Delaware,2023,Hispanic or Latio (any race),8113.0,0.03502478025868173
Fairfield,2010,Hispanic or Latio (any race),5097.0,0.017410224792406042
Fairfield,2011,Hispanic or Latio (any race),2630.0,0.01786927571680935
Fairfield,2012,Hispanic or Latio (any race),2723.0,0.018484325997529086
Fairfield,2013,Hispanic or Latio (any race),2828.0,0.019002822201317028
Fairfield,2014,Hispanic or Latio (any race),3017.0,0.020059840425531914
Fairfield,2015,Hispanic or Latio (any race),3094.0,0.020448086709404532
Fairfield,2016,Hispanic or Latio (any race),3257.0,0.02131140032323708
Fairfield,2017,Hispanic or Latio (any race),3407.0,0.022020708644113807
Fairfield,2018,Hispanic or Latio (any race),3600.0,0.02306775512296395
Fairfield,2019,Hispanic or Latio (any race),3782.0,0.023981788551898187
Fairfield,2020,Hispanic or Latio (any race),8148.0,0.02552975494819164
Fairfield,2021,Hispanic or Latio (any race),4307.0,0.026716870646179804
Fairfield,2022,Hispanic or Latio (any race),4488.0,0.027541176759370626
Fairfield,2023,Hispanic or Latio (any race),4741.0,0.028670778906627965
Fayette,2010,Hispanic or Latio (any race),1045.0,0.017998932120773695
Fayette,2011,Hispanic or Latio (any race),510.0,0.01766539660547281
Fayette,2012,Hispanic or Latio (any race),492.0,0.017101147028154327
Fayette,2013,Hispanic or Latio (any race),505.0,0.01760195189961659
Fayette,2014,Hispanic or Latio (any race),560.0,0.01954488342873098
Fayette,2015,Hispanic or Latio (any race),579.0,0.020232728797567878
Fayette,2016,Hispanic or Latio (any race),581.0,0.020247429865830283
Fayette,2017,Hispanic or Latio (any race),600.0,0.02092852907321497
Fayette,2018,Hispanic or Latio (any race),623.0,0.021772558887257987
Fayette,2019,Hispanic or Latio (any race),645.0,0.022642701678017272
Fayette,2020,Hispanic or Latio (any race),1354.0,0.023525732355700733
Fayette,2021,Hispanic or Latio (any race),715.0,0.02471141217944287
Fayette,2022,Hispanic or Latio (any race),727.0,0.02521503884572697
Fayette,2023,Hispanic or Latio (any race),726.0,0.025193462192455843
Franklin,2010,Hispanic or Latio (any race),112111.0,0.04807267223100062
Franklin,2011,Hispanic or Latio (any race),57409.0,0.04861391613466484
Franklin,2012,Hispanic or Latio (any race),59127.0,0.04930302679075461
Franklin,2013,Hispanic or Latio (any race),61253.0,0.050240898435513534
Franklin,2014,Hispanic or Latio (any race),63367.0,0.05115365551625096
Franklin,2015,Hispanic or Latio (any race),65844.0,0.05234475801162422
Franklin,2016,Hispanic or Latio (any race),68464.0,0.05368832790155676
Franklin,2017,Hispanic or Latio (any race),71704.0,0.05531119877442775
Franklin,2018,Hispanic or Latio (any race),74276.0,0.0567599394466907
Franklin,2019,Hispanic or Latio (any race),76883.0,0.05829919788650906
Franklin,2020,Hispanic or Latio (any race),170423.0,0.06433326475567795
Franklin,2021,Hispanic or Latio (any race),93200.0,0.07074830758206273
Franklin,2022,Hispanic or Latio (any race),96154.0,0.07274859464489722
Franklin,2023,Hispanic or Latio (any race),99891.0,0.07532900020587258
Hocking,2010,Hispanic or Latio (any race),402.0,0.006830113665324431
Hocking,2011,Hispanic or Latio (any race),222.0,0.007532828882630382
Hocking,2012,Hispanic or Latio (any race),229.0,0.007813033094506995
Hocking,2013,Hispanic or Latio (any race),246.0,0.008583391486392184
Hocking,2014,Hispanic or Latio (any race),248.0,0.008626387004765384
Hocking,2015,Hispanic or Latio (any race),252.0,0.008841484808083644
Hocking,2016,Hispanic or Latio (any race),255.0,0.008977924867091504
Hocking,2017,Hispanic or Latio (any race),268.0,0.009423347398030942
Hocking,2018,Hispanic or Latio (any race),290.0,0.010228194547314218
Hocking,2019,Hispanic or Latio (any race),310.0,0.010977337110481586
Hocking,2020,Hispanic or Latio (any race),545.0,0.009708737864077669
Hocking,2021,Hispanic or Latio (any race),269.0,0.00957261307426782
Hocking,2022,Hispanic or Latio (any race),274.0,0.009849737579984183
Hocking,2023,Hispanic or Latio (any race),275.0,0.009985475671750182
Knox,2010,Hispanic or Latio (any race),1501.0,0.012295719844357976
Knox,2011,Hispanic or Latio (any race),808.0,0.013183227280143579
Knox,2012,Hispanic or Latio (any race),822.0,0.013523963080567941
Knox,2013,Hispanic or Latio (any race),841.0,0.013813606648927433
Knox,2014,Hispanic or Latio (any race),853.0,0.013975587777504711
Knox,2015,Hispanic or Latio (any race),894.0,0.014644934065033992
Knox,2016,Hispanic or Latio (any race),905.0,0.014847505455022723
Knox,2017,Hispanic or Latio (any race),930.0,0.015160159752221045
Knox,2018,Hispanic or Latio (any race),961.0,0.015519775197428982
Knox,2019,Hispanic or Latio (any race),1012.0,0.01625990134802937
Knox,2020,Hispanic or Latio (any race),2265.0,0.018087298164917828
Knox,2021,Hispanic or Latio (any race),1221.0,0.01952256847289065
Knox,2022,Hispanic or Latio (any race),1297.0,0.020523450851319704
Knox,2023,Hispanic or Latio (any race),1330.0,0.02100442198357549
Licking,2010,Hispanic or Latio (any race),4700.0,0.014096081289401546
Licking,2011,Hispanic or Latio (any race),2507.0,0.014994467537904841
Licking,2012,Hispanic or Latio (any race),2578.0,0.01537855830489871
Licking,2013,Hispanic or Latio (any race),2705.0,0.01605036432250255
Licking,2014,Hispanic or Latio (any race),2832.0,0.016707373190329545
Licking,2015,Hispanic or Latio (any race),3006.0,0.017607675681374876
Licking,2016,Hispanic or Latio (any race),3184.0,0.018493779259551826
Licking,2017,Hispanic or Latio (any race),3441.0,0.01979975832901778
Licking,2018,Hispanic or Latio (any race),3575.0,0.02033375801974792
Licking,2019,Hispanic or Latio (any race),3768.0,0.021267228825899962
Licking,2020,Hispanic or Latio (any race),8018.0,0.02246668385245626
Licking,2021,Hispanic or Latio (any race),4204.0,0.02335283105859872
Licking,2022,Hispanic or Latio (any race),4403.0,0.02422358539872913
Licking,2023,Hispanic or Latio (any race),4619.0,0.025212744471918822
Logan,2010,Hispanic or Latio (any race),1100.0,0.012015554681697033
Logan,2011,Hispanic or Latio (any race),573.0,0.012558904109589042
Logan,2012,Hispanic or Latio (any race),578.0,0.012727913326873954
Logan,2013,Hispanic or Latio (any race),608.0,0.013392365470605079
Logan,2014,Hispanic or Latio (any race),639.0,0.01405105877696418
Logan,2015,Hispanic or Latio (any race),655.0,0.014473538835487791
Logan,2016,Hispanic or Latio (any race),674.0,0.014929671059918041
Logan,2017,Hispanic or Latio (any race),688.0,0.015215516288121725
Logan,2018,Hispanic or Latio (any race),718.0,0.015853039235168134
Logan,2019,Hispanic or Latio (any race),939.0,0.020594815107250954
Logan,2020,Hispanic or Latio (any race),1902.0,0.02080006998972026
Logan,2021,Hispanic or Latio (any race),1048.0,0.022704623250574114
Logan,2022,Hispanic or Latio (any race),1061.0,0.023034171334288568
Logan,2023,Hispanic or Latio (any race),1086.0,0.02357947760383872
Madison,2010,Hispanic or Latio (any race),1249.0,0.014376151012891344
Madison,2011,Hispanic or Latio (any race),638.0,0.01479591836734694
Madison,2012,Hispanic or Latio (any race),644.0,0.014978137501162898
Madison,2013,Hispanic or Latio (any race),759.0,0.017543859649122806
Madison,2014,Hispanic or Latio (any race),803.0,0.0182549786305356
Madison,2015,Hispanic or Latio (any race),814.0,0.018437563704727173
Madison,2016,Hispanic or Latio (any race),860.0,0.019815668202764977
Madison,2017,Hispanic or Latio (any race),918.0,0.02082718878326565
Madison,2018,Hispanic or Latio (any race),962.0,0.021670083121212803
Madison,2019,Hispanic or Latio (any race),1069.0,0.023855217352494868
Madison,2020,Hispanic or Latio (any race),2387.0,0.026999819020903086
Madison,2021,Hispanic or Latio (any race),1295.0,0.0291482848654002
Madison,2022,Hispanic or Latio (any race),1361.0,0.031229205387668938
Madison,2023,Hispanic or Latio (any race),1480.0,0.033182368503654545
Marion,2010,Hispanic or Latio (any race),3028.0,0.02277702138542662
Marion,2011,Hispanic or Latio (any race),1509.0,0.02265289578767226
Marion,2012,Hispanic or Latio (any race),1552.0,0.023408395046831874
Marion,2013,Hispanic or Latio (any race),1525.0,0.023107461058245956
Marion,2014,Hispanic or Latio (any race),1624.0,0.02467260186563763
Marion,2015,Hispanic or Latio (any race),1671.0,0.025523140369634947
Marion,2016,Hispanic or Latio (any race),1700.0,0.02596172935660726
Marion,2017,Hispanic or Latio (any race),1732.0,0.02659991092408582
Marion,2018,Hispanic or Latio (any race),1867.0,0.02853605600220096
Marion,2019,Hispanic or Latio (any race),1900.0,0.029205158553268672
Marion,2020,Hispanic or Latio (any race),3936.0,0.030228557385106904
Marion,2021,Hispanic or Latio (any race),2015.0,0.030852855611698055
Marion,2022,Hispanic or Latio (any race),2077.0,0.032147224070949866
Marion,2023,Hispanic or Latio (any race),2165.0,0.03338421921018951
Morrow,2010,Hispanic or Latio (any race),750.0,0.010778494747280227
Morrow,2011,Hispanic or Latio (any race),418.0,0.0120070088759946
Morrow,2012,Hispanic or Latio (any race),463.0,0.013289704067280922
Morrow,2013,Hispanic or Latio (any race),492.0,0.014117241972970646
Morrow,2014,Hispanic or Latio (any race),488.0,0.013966400503706247
Morrow,2015,Hispanic or Latio (any race),514.0,0.014705040910911484
Morrow,2016,Hispanic or Latio (any race),492.0,0.014086120018323408
Morrow,2017,Hispanic or Latio (any race),510.0,0.014601465872652312
Morrow,2018,Hispanic or Latio (any race),555.0,0.01579711382460934
Morrow,2019,Hispanic or Latio (any race),564.0,0.015958349838718806
Morrow,2020,Hispanic or Latio (any race),1174.0,0.01667826852864713
Morrow,2021,Hispanic or Latio (any race),629.0,0.017866780286891065
Morrow,2022,Hispanic or Latio (any race),682.0,0.019300430156214625
Morrow,2023,Hispanic or Latio (any race),718.0,0.020171372383761765
Perry,2010,Hispanic or Latio (any race),388.0,0.005381787918718357
Perry,2011,Hispanic or Latio (any race),224.0,0.006182892158215794
Perry,2012,Hispanic or Latio (any race),234.0,0.006503070894589112
Perry,2013,Hispanic or Latio (any race),246.0,0.006833333333333334
Perry,2014,Hispanic or Latio (any race),276.0,0.0076824583866837385
Perry,2015,Hispanic or Latio (any race),288.0,0.008006672226855712
Perry,2016,Hispanic or Latio (any race),301.0,0.008357628765792031
Perry,2017,Hispanic or Latio (any race),323.0,0.008978457261987491
Perry,2018,Hispanic or Latio (any race),314.0,0.008711091383232537
Perry,2019,Hispanic or Latio (any race),322.0,0.008913001356326293
Perry,2020,Hispanic or Latio (any race),590.0,0.008233209137466684
Perry,2021,Hispanic or Latio (any race),291.0,0.008205504173246109
Perry,2022,Hispanic or Latio (any race),311.0,0.008767725747793973
Perry,2023,Hispanic or Latio (any race),348.0,0.009788754184129842
Pickaway,2010,Hispanic or Latio (any race),1196.0,0.010722610722610723
Pickaway,2011,Hispanic or Latio (any race),644.0,0.011511099989275372
Pickaway,2012,Hispanic or Latio (any race),666.0,0.01184315817551347
Pickaway,2013,Hispanic or Latio (any race),744.0,0.013202725724020443
Pickaway,2014,Hispanic or Latio (any race),753.0,0.013279720649701074
Pickaway,2015,Hispanic or Latio (any race),788.0,0.01382674457370462
Pickaway,2016,Hispanic or Latio (any race),789.0,0.013718637525429034
Pickaway,2017,Hispanic or Latio (any race),822.0,0.01422908480326819
Pickaway,2018,Hispanic or Latio (any race),853.0,0.014681836176182034
Pickaway,2019,Hispanic or Latio (any race),892.0,0.015242391620102186
Pickaway,2020,Hispanic or Latio (any race),1894.0,0.01614470566172835
Pickaway,2021,Hispanic or Latio (any race),989.0,0.016829745596868884
Pickaway,2022,Hispanic or Latio (any race),1149.0,0.019147766093955704
Pickaway,2023,Hispanic or Latio (any race),1268.0,0.02075762040402056
Ross,2010,Hispanic or Latio (any race),1515.0,0.00969960049170252
Ross,2011,Hispanic or Latio (any race),825.0,0.010632265381343918
Ross,2012,Hispanic or Latio (any race),849.0,0.010974805775669283
Ross,2013,Hispanic or Latio (any race),849.0,0.010983324493201723
Ross,2014,Hispanic or Latio (any race),885.0,0.011476217646143472
Ross,2015,Hispanic or Latio (any race),889.0,0.011535417234354523
Ross,2016,Hispanic or Latio (any race),931.0,0.012108521485797524
Ross,2017,Hispanic or Latio (any race),975.0,0.012613358516927775
Ross,2018,Hispanic or Latio (any race),1021.0,0.013284065626667013
Ross,2019,Hispanic or Latio (any race),1064.0,0.013887982457285317
Ross,2020,Hispanic or Latio (any race),2135.0,0.013911604297936392
Ross,2021,Hispanic or Latio (any race),1025.0,0.013398692810457516
Ross,2022,Hispanic or Latio (any race),1099.0,0.01436451090082083
Ross,2023,Hispanic or Latio (any race),1130.0,0.014771048744460856
Union,2010,Hispanic or Latio (any race),1331.0,0.012694083088543853
Union,2011,Hispanic or Latio (any race),692.0,0.013031769646522664
Union,2012,Hispanic or Latio (any race),734.0,0.013902041744005455
Union,2013,Hispanic or Latio (any race),769.0,0.01438997005988024
Union,2014,Hispanic or Latio (any race),825.0,0.015339704733925848
Union,2015,Hispanic or Latio (any race),887.0,0.016306945619002096
Union,2016,Hispanic or Latio (any race),883.0,0.01588100933436449
Union,2017,Hispanic or Latio (any race),941.0,0.016554660286407938
Union,2018,Hispanic or Latio (any race),1051.0,0.018172072757452105
Union,2019,Hispanic or Latio (any race),1190.0,0.020151048193179123
Union,2020,Hispanic or Latio (any race),2842.0,0.02308579598069956
Union,2021,Hispanic or Latio (any race),1839.0,0.028246244585752464
Union,2022,Hispanic or Latio (any race),2170.0,0.0324481129254142
Union,2023,Hispanic or Latio (any race),2559.0,0.036747705960911585
15County,2010,Asian,119338.0,0.027287947781142144
15County,2011,Asian,62906.0,0.02850877093597287
15County,2012,Asian,66074.0,0.029679839189659624
15County,2013,Asian,70872.0,0.031457911195051744
15County,2014,Asian,76315.0,0.03346409390204972
15County,2015,Asian,82536.0,0.03579246821280508
15County,2016,Asian,88774.0,0.03808946007394437
15County,2017,Asian,95290.0,0.04034783227259197
15County,2018,Asian,100560.0,0.04218483552486686
15County,2019,Asian,105944.0,0.04407912474162636
15County,2020,Asian,218893.0,0.045237603177686755
15County,2021,Asian,112276.0,0.04627320130631247
15County,2022,Asian,116726.0,0.04781357922690334
15County,2023,Asian,120877.0,0.049140647454668375
Delaware,2010,Asian,15254.0,0.043537578061673
Delaware,2011,Asian,8233.0,0.04610155445056668
Delaware,2012,Asian,8621.0,0.04756833706699626
Delaware,2013,Asian,9387.0,0.05059150071411248
Delaware,2014,Asian,10268.0,0.05414212571645514
Delaware,2015,Asian,11292.0,0.058319216626038096
Delaware,2016,Asian,12434.0,0.06297545608330547
Delaware,2017,Asian,13614.0,0.06767847999323912
Delaware,2018,Asian,14848.0,0.07230687567872918
Delaware,2019,Asian,16339.0,0.07789081270737196
Delaware,2020,Asian,34997.0,0.0816313677924986
Delaware,2021,Asian,18654.0,0.08429967191185908
Delaware,2022,Asian,20240.0,0.08934956693712863
Delaware,2023,Asian,22003.0,0.09498955257386589
Fairfield,2010,Asian,3295.0,0.01125499130684283
Fairfield,2011,Asian,1719.0,0.011679576029351815
Fairfield,2012,Asian,1760.0,0.011947269098660005
Fairfield,2013,Asian,1861.0,0.012505039645208977
Fairfield,2014,Asian,1908.0,0.012686170212765958
Fairfield,2015,Asian,1989.0,0.013145198598902915
Fairfield,2016,Asian,2204.0,0.014421346733931388
Fairfield,2017,Asian,2460.0,0.01589989529337246
Fairfield,2018,Asian,2757.0,0.01766605579833656
Fairfield,2019,Asian,3041.0,0.019283082756827708
Fairfield,2020,Asian,6828.0,0.0213938594484846
Fairfield,2021,Asian,3819.0,0.023689744369110907
Fairfield,2022,Asian,4665.0,0.028627359532634577
Fairfield,2023,Asian,5297.0,0.032033139816158684
Fayette,2010,Asian,313.0,0.0053910677069877195
Fayette,2011,Asian,166.0,0.005749913404918601
Fayette,2012,Asian,175.0,0.006082725060827251
Fayette,2013,Asian,183.0,0.0063785291042174974
Fayette,2014,Asian,207.0,0.007224626553120201
Fayette,2015,Asian,221.0,0.007722682321696894
Fayette,2016,Asian,242.0,0.00843352500435616
Fayette,2017,Asian,255.0,0.008894624856116362
Fayette,2018,Asian,265.0,0.00926120081079192
Fayette,2019,Asian,283.0,0.00993470476725409
Fayette,2020,Asian,597.0,0.010372867220349585
Fayette,2021,Asian,316.0,0.010921407340844682
Fayette,2022,Asian,345.0,0.011965871254162042
Fayette,2023,Asian,363.0,0.012596731096227921
Franklin,2010,Asian,91285.0,0.039142580876157476
Franklin,2011,Asian,47969.0,0.04062012825626187
Franklin,2012,Asian,50549.0,0.04215026470556353
Franklin,2013,Asian,54137.0,0.04440421724002736
Franklin,2014,Asian,58257.0,0.047028556021434374
Franklin,2015,Asian,62910.0,0.050012282463265896
Franklin,2016,Asian,67180.0,0.05268143649840183
Franklin,2017,Asian,71469.0,0.05512992392627436
Franklin,2018,Asian,74031.0,0.0565727163172217
Franklin,2019,Asian,76501.0,0.058009533154479265
Franklin,2020,Asian,154470.0,0.05831113996825295
Franklin,2021,Asian,77105.0,0.058530560687928605
Franklin,2022,Asian,77516.0,0.058647378814129965
Franklin,2023,Asian,77541.0,0.05847459736075888
Hocking,2010,Asian,114.0,0.0019368979050920026
Hocking,2011,Asian,55.0,0.0018662413898408606
Hocking,2012,Asian,60.0,0.0020470829068577278
Hocking,2013,Asian,62.0,0.0021632937892533148
Hocking,2014,Asian,66.0,0.002295732025461755
Hocking,2015,Asian,72.0,0.0025261385165953267
Hocking,2016,Asian,91.0,0.003203886913354223
Hocking,2017,Asian,102.0,0.003586497890295359
Hocking,2018,Asian,105.0,0.0037033118188551477
Hocking,2019,Asian,113.0,0.004001416430594901
Hocking,2020,Asian,261.0,0.004649505656007838
Hocking,2021,Asian,132.0,0.004697341731610975
Hocking,2022,Asian,125.0,0.004493493421525631
Hocking,2023,Asian,127.0,0.004611474219317357
Knox,2010,Asian,707.0,0.0057915216055703465
